,PC1,PC2,PC3,PC4,PC5
child_mort,-0.41951944871295954,0.19288393671336235,-0.029543525456387214,0.3706532617896757,-0.16896968292843625
exports,0.2838969813366551,0.6131634935912949,0.14476069039195202,0.003091019045960688,0.05761583805907715
health,0.1508378244294185,-0.24308677913355928,-0.5966323651917049,0.4618974967691557,0.5180003688142611
imports,0.16148244186080235,0.6718206442214831,-0.29992674407819725,-0.071907461161933,0.2553764166376969
income,0.39844111157132367,0.02253553020448143,0.3015475010837706,0.39215903936585345,-0.24714960213625828
inflation,-0.19317292694633278,-0.008404473304538789,0.642519514455542,0.15044176231253512,0.7148691047260326
life_expec,0.42583938482856676,-0.22270674341888705,0.11391854110958284,-0.20379723463667637,0.108219800235721
total_fer,-0.40372895502832823,0.1552331057153059,0.019549248328588596,0.37830364518318393,-0.13526221100906924
gdpp,0.39264482415656227,-0.04602239591533638,0.12297748829950561,0.5319945749959045,-0.1801666216904801
